                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 1.0321,                0.81576,                0.98852,                0.65593,                0.56649,                0.61202,                 0.3741,                 1.8072,                 1.4777,                  1.494,               0.000293,               0.000293,               0.000293
                    119,                 1.0154,                0.75235,                 1.0081,                 0.6768,                 0.5671,                0.61189,                0.36539,                  1.799,                  1.479,                 1.4862,             0.00028475,             0.00028475,             0.00028475
                    120,                0.96073,                0.78411,                 0.9957,                0.65981,                0.60011,                0.61339,                 0.3686,                 1.7928,                 1.4702,                  1.475,              0.0002765,              0.0002765,              0.0002765
                    121,                 1.0152,                 1.4807,                 1.0854,                0.65672,                0.60467,                0.61464,                0.37228,                 1.7917,                 1.4581,                 1.4749,             0.00026825,             0.00026825,             0.00026825
                    122,                0.95566,                0.79909,                 1.0175,                0.65301,                0.61066,                 0.6211,                0.38305,                 1.7759,                 1.4544,                 1.4584,                0.00026,                0.00026,                0.00026
                    123,                0.94994,                0.78106,                 1.0207,                0.72902,                0.52709,                0.61863,                 0.3787,                 1.7519,                 1.4278,                 1.4397,             0.00025175,             0.00025175,             0.00025175
                    124,                0.85174,                0.97647,                0.96541,                0.72943,                0.53024,                  0.611,                0.37308,                 1.7388,                  1.414,                 1.4281,              0.0002435,              0.0002435,              0.0002435
                    125,                0.89456,                 1.0209,                0.98499,                0.72386,                0.53737,                0.60475,                0.36949,                 1.7274,                 1.3996,                 1.4189,             0.00023525,             0.00023525,             0.00023525
                    126,                0.84865,                0.88688,                0.98061,                0.72813,                0.53497,                0.61329,                 0.3705,                  1.716,                 1.4009,                 1.4127,               0.000227,               0.000227,               0.000227
                    127,                 1.0491,                0.94905,                 1.0308,                 0.6109,                0.63807,                0.61327,                0.37476,                 1.7128,                 1.3773,                 1.4146,             0.00021875,             0.00021875,             0.00021875
                    128,                0.92201,                0.91486,                0.97014,                0.60809,                 0.6076,                0.60755,                0.35819,                 1.7107,                 1.3611,                 1.4173,              0.0002105,              0.0002105,              0.0002105
                    129,                0.97157,                 0.7433,                0.99022,                0.50535,                0.57365,                0.53878,                0.33448,                 1.7186,                 1.3531,                 1.4249,             0.00020225,             0.00020225,             0.00020225
                    130,                0.90204,                0.71545,                0.95846,                0.60618,                0.45325,                0.53551,                0.33141,                 1.7183,                 1.3516,                  1.426,               0.000194,               0.000194,               0.000194
                    131,                0.91878,                0.79142,                0.97967,                0.60706,                0.45191,                0.53227,                0.33114,                 1.7119,                 1.3615,                 1.4231,             0.00018575,             0.00018575,             0.00018575
                    132,                 1.0336,                0.79064,                0.98198,                0.60005,                0.43072,                0.53291,                0.33141,                 1.7121,                 1.3769,                 1.4242,              0.0001775,              0.0001775,              0.0001775
                    133,                0.94197,                0.85039,                 1.0182,                0.67834,                0.41014,                0.53746,                0.33154,                 1.7078,                 1.3894,                 1.4217,             0.00016925,             0.00016925,             0.00016925
                    134,                 1.0107,                 1.0657,                 1.0227,                0.68774,                0.46863,                0.56603,                0.33263,                 1.7114,                 1.3922,                 1.4278,               0.000161,               0.000161,               0.000161
                    135,                0.92846,                  0.848,                0.97465,                0.70654,                0.46168,                0.57178,                0.33355,                 1.7113,                 1.3944,                 1.4246,             0.00015275,             0.00015275,             0.00015275
                    136,                0.89637,                0.71992,                0.94597,                0.68635,                0.48328,                0.57493,                 0.3348,                 1.7182,                 1.3884,                 1.4255,              0.0001445,              0.0001445,              0.0001445
                    137,                0.92173,                0.93676,                0.98811,                0.68476,                0.48196,                0.57735,                0.33301,                 1.7313,                 1.3797,                 1.4323,             0.00013625,             0.00013625,             0.00013625
                    138,                0.85963,                0.73946,                0.97065,                0.54934,                0.61655,                 0.5796,                0.33305,                 1.7332,                 1.3741,                 1.4349,               0.000128,               0.000128,               0.000128
                    139,                0.92605,                0.87591,                0.97715,                0.56861,                0.61492,                0.59774,                0.34524,                 1.7358,                 1.3557,                 1.4365,             0.00011975,             0.00011975,             0.00011975
                    140,                0.93134,                0.81432,                0.98059,                0.55731,                 0.6019,                0.60403,                0.34872,                 1.7357,                 1.3516,                  1.438,              0.0001115,              0.0001115,              0.0001115
                    141,                0.96582,                 2.9522,                 1.2116,                0.71178,                0.53307,                 0.6122,                0.36563,                 1.7377,                  1.347,                 1.4434,             0.00010325,             0.00010325,             0.00010325
                    142,                0.91816,                 1.2024,                 1.0138,                0.72445,                0.53003,                0.60536,                0.36462,                 1.7419,                 1.3639,                 1.4431,                9.5e-05,                9.5e-05,                9.5e-05
                    143,                 0.8667,                 1.1653,                 1.0144,                 0.6628,                0.61669,                0.61142,                0.37005,                 1.7474,                 1.3829,                 1.4462,              8.675e-05,              8.675e-05,              8.675e-05
                    144,                 1.0516,                  1.204,                 1.0791,                0.68907,                0.59288,                0.60885,                0.38591,                   1.75,                 1.4013,                 1.4495,               7.85e-05,               7.85e-05,               7.85e-05
                    145,                0.81023,                0.91982,                0.96897,                0.68675,                0.57988,                0.60296,                0.38311,                 1.7509,                 1.4172,                 1.4507,              7.025e-05,              7.025e-05,              7.025e-05
                    146,                0.91303,                0.99243,                0.94677,                0.67576,                0.57111,                0.60304,                0.38099,                  1.753,                  1.438,                 1.4542,                6.2e-05,                6.2e-05,                6.2e-05
                    147,                  0.887,                 1.1363,                0.99563,                0.67728,                 0.5645,                0.60111,                0.37892,                 1.7509,                 1.4439,                 1.4549,              5.375e-05,              5.375e-05,              5.375e-05
