                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                  1.075,                 1.1284,                 1.0887,                0.62985,                0.47473,                0.53565,                0.32987,                 1.6965,                 1.4386,                 1.3884,               0.000524,               0.000524,               0.000524
                     91,                 1.0476,                0.87019,                  1.013,                0.56128,                0.55805,                0.53257,                0.33015,                  1.696,                 1.3817,                 1.4039,             0.00051575,             0.00051575,             0.00051575
                     92,                 1.0549,                 1.0733,                 1.0209,                0.82574,                0.52334,                0.57829,                0.34217,                 1.7324,                 1.3498,                 1.4324,              0.0005075,              0.0005075,              0.0005075
                     93,                0.95776,                 1.2091,                 1.0208,                0.81016,                0.48479,                0.58858,                0.33178,                 1.7692,                 1.3435,                 1.4724,             0.00049925,             0.00049925,             0.00049925
                     94,                 1.0017,                 0.8684,                0.99917,                0.50778,                0.62263,                 0.5541,                0.31208,                 1.7518,                 1.3713,                 1.4757,               0.000491,               0.000491,               0.000491
                     95,                 1.1072,                0.85215,                 1.0313,                0.56761,                0.60043,                  0.557,                0.30903,                 1.7569,                 1.4119,                 1.4785,             0.00048275,             0.00048275,             0.00048275
                     96,                 1.0177,                 1.0034,                 1.0395,                0.60243,                0.53881,                0.56362,                0.30682,                 1.7731,                 1.4624,                 1.4943,              0.0004745,              0.0004745,              0.0004745
                     97,                 1.0449,                 1.1038,                 1.0434,                 0.5928,                0.50653,                0.55049,                0.30346,                 1.7847,                 1.5255,                 1.4921,             0.00046625,             0.00046625,             0.00046625
                     98,                 1.0243,                0.91389,                 1.0557,                0.71647,                0.46575,                 0.5641,                0.31635,                 1.7746,                 1.5206,                 1.4775,               0.000458,               0.000458,               0.000458
                     99,                 0.9834,                0.91804,                 1.0036,                0.64639,                0.50588,                0.59236,                0.34552,                 1.7614,                 1.4719,                 1.4607,             0.00044975,             0.00044975,             0.00044975
                    100,                 1.0016,                0.83335,                 1.0292,                0.66967,                0.56082,                 0.6206,                0.37819,                 1.7423,                 1.4161,                 1.4329,              0.0004415,              0.0004415,              0.0004415
                    101,                 1.0175,                0.86554,                   1.02,                 0.7034,                0.57107,                 0.6419,                0.39191,                 1.7359,                 1.3845,                 1.4156,             0.00043325,             0.00043325,             0.00043325
                    102,                0.95908,                0.82507,                 1.0003,                0.73278,                0.57106,                0.64897,                0.40034,                 1.7579,                 1.3677,                 1.4126,               0.000425,               0.000425,               0.000425
